City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current description
185,Jardim,-21.48,-56.14,93.11,36,33,6.33,BR,scattered clouds
186,North Bend,43.41,-124.22,50.0,66,1,8.05,US,clear sky
187,Konstantinovskaya,44.05,43.16,32.0,96,90,8.95,RU,overcast clouds
188,Rabo De Peixe,37.8,-25.58,60.8,93,75,14.99,PT,light rain
189,Hokitika,-42.72,170.97,55.35,79,98,7.11,NZ,overcast clouds
190,Banyo,6.75,11.82,70.25,48,7,3.47,CM,clear sky
191,Aloleng,16.13,119.78,79.45,81,0,6.06,PH,clear sky
192,Shobara,34.85,133.02,37.02,81,63,3.2,JP,broken clouds
193,Mopti,14.67,-4.0,75.6,19,0,8.95,ML,clear sky
194,Jiuquan,39.74,98.52,2.77,90,95,3.0,CN,overcast clouds
195,Souillac,-20.52,57.52,75.2,83,75,11.41,MU,shower rain
196,Yarada,17.65,83.27,68.0,94,1,2.24,IN,mist
197,Seoul,37.57,126.98,33.8,80,90,3.36,KR,light snow
198,Kahului,20.89,-156.47,82.4,54,40,19.46,US,scattered clouds
199,Biltine,14.53,20.92,71.69,20,1,4.47,TD,clear sky
200,Pedasi,7.53,-80.03,82.71,74,97,12.62,PA,overcast clouds
201,Aviles,43.55,-5.92,55.0,93,75,3.83,ES,broken clouds
202,Umea,63.83,20.26,30.2,100,100,2.24,SE,overcast clouds
203,Martil,35.62,-5.28,64.4,88,40,16.11,MA,scattered clouds
204,Riviere-Au-Renard,49.0,-64.4,28.4,74,90,5.82,CA,overcast clouds
205,Klaksvik,62.23,-6.59,44.6,93,100,18.34,FO,light rain
206,Tecoanapa,16.52,-98.75,83.71,66,5,9.46,MX,clear sky
207,Acri,39.49,16.38,46.0,10,36,58.0,IT,scattered clouds
208,Najran,17.49,44.13,60.8,48,0,1.07,SA,clear sky
209,Kungurtug,50.6,97.52,-13.38,80,100,1.45,RU,overcast clouds
210,Bethel,41.37,-73.41,48.0,100,90,3.36,US,fog
211,La Ronge,55.1,-105.28,21.2,92,100,8.05,CA,light snow
212,Port Hardy,50.7,-127.42,42.8,80,75,18.34,CA,broken clouds
213,Fuxin,42.02,121.66,6.39,76,31,11.18,CN,scattered clouds
214,Carnduff,49.17,-101.8,19.0,93,11,5.99,CA,few clouds
215,Aranda De Duero,41.67,-3.69,41.7,92,23,7.4,ES,few clouds
216,Constitucion,-35.33,-72.42,62.22,74,31,13.76,CL,scattered clouds
217,Monrovia,6.3,-10.8,78.8,94,75,8.61,LR,broken clouds
218,Severo-Kurilsk,50.68,156.12,24.87,90,66,3.91,RU,broken clouds
219,Karratha,-20.74,116.85,76.6,64,100,6.64,AU,overcast clouds
220,Chokurdakh,70.63,147.92,-32.24,83,100,5.28,RU,overcast clouds
221,Marzuq,14.4,46.47,53.35,41,0,1.12,YE,clear sky
222,Hobyo,5.35,48.53,76.77,68,3,17.02,SO,clear sky
223,Kendari,-3.94,122.5,76.14,85,100,2.84,ID,moderate rain
224,Nemuro,43.32,145.57,32.52,89,16,12.39,JP,few clouds
225,Mugur-Aksy,50.35,90.5,-9.47,76,74,4.14,RU,broken clouds
226,Salimbalan,8.27,124.72,73.99,88,99,5.01,PH,overcast clouds
227,Saint-Augustin,51.23,-58.65,18.88,89,0,12.53,CA,clear sky
228,Namatanai,-3.67,152.43,82.87,73,26,4.36,PG,scattered clouds
229,Fairbanks,64.84,-147.72,-2.99,75,20,5.82,US,few clouds
230,Saldanha,-33.01,17.94,60.8,63,14,5.82,ZA,few clouds
231,San Patricio,28.02,-97.52,72.0,73,75,13.87,US,broken clouds
232,Garbovi,44.78,26.77,39.2,100,90,27.51,RO,light rain
233,Gushikawa,26.35,127.87,62.6,87,20,4.7,JP,few clouds
234,Lander,42.83,-108.73,23.0,85,90,3.53,US,mist
235,Sao Filipe,14.9,-24.5,76.82,74,90,11.65,CV,overcast clouds
236,Nexo,55.06,15.13,41.0,86,100,4.7,DK,overcast clouds
237,Hervey Bay,-25.3,152.85,69.01,92,81,5.01,AU,broken clouds
238,Ilulissat,69.22,-51.1,19.4,67,75,1.12,GL,broken clouds
239,Lagoa,39.05,-27.98,61.27,65,79,32.75,PT,broken clouds
240,Beringovskiy,63.05,179.32,21.81,92,100,23.2,RU,overcast clouds
241,Aberystwyth,52.42,-4.08,36.0,100,66,5.68,GB,broken clouds
242,Pitimbu,-7.47,-34.81,82.4,69,20,11.41,BR,few clouds
243,Vestmannaeyjar,63.44,-20.27,45.23,89,100,34.38,IS,light rain
244,Makakilo City,21.35,-158.09,82.4,57,1,10.29,US,clear sky
245,Lichinga,-13.31,35.24,64.4,93,90,4.7,MZ,light rain
246,Waipawa,-41.41,175.52,60.01,67,82,17.22,NZ,broken clouds
247,Grand-Santi,4.25,-54.38,77.63,93,100,3.09,GF,light rain
248,Tasiilaq,65.61,-37.64,34.07,88,100,33.78,GL,overcast clouds
249,Dingle,11.0,122.67,75.74,91,94,5.39,PH,overcast clouds
250,Inhambane,-23.86,35.38,78.53,87,40,10.0,MZ,scattered clouds
251,Richards Bay,-28.78,32.04,72.0,90,100,13.22,ZA,light rain
252,Amapa,1.0,-52.0,85.71,56,32,4.83,BR,scattered clouds
253,Yaan,7.38,8.57,84.92,43,100,7.29,NG,overcast clouds
254,Port Blair,11.67,92.75,77.16,70,99,5.55,IN,overcast clouds
255,Lorengau,-2.02,147.27,83.32,74,90,6.93,PG,overcast clouds
256,Port Macquarie,-31.43,152.92,66.99,84,65,1.99,AU,broken clouds
257,Dalbandin,28.89,64.41,49.05,46,0,5.57,PK,clear sky
258,Cascais,38.7,-9.42,61.0,100,58,6.82,PT,broken clouds
259,Darovskoy,58.77,47.96,7.03,94,33,5.91,RU,scattered clouds
260,Alofi,-19.06,-169.92,77.0,94,90,12.75,NU,light rain
261,Atasu,48.68,71.64,-3.06,92,0,2.51,KZ,clear sky
262,Ostrovnoy,68.05,39.51,25.79,96,46,17.83,RU,scattered clouds
263,Pacific Grove,36.62,-121.92,57.2,93,90,6.93,US,mist
264,Nagapattinam,10.77,79.83,74.43,86,80,9.35,IN,broken clouds
265,Juegang,32.32,121.19,43.0,88,50,3.0,CN,scattered clouds
266,Nanortalik,60.14,-45.24,32.11,87,100,11.83,GL,overcast clouds
267,Barletta,41.31,16.29,51.01,81,94,3.0,IT,overcast clouds
268,Poum,-20.23,164.02,81.0,78,37,25.48,NC,light rain
269,Tautira,-17.73,-149.15,84.2,66,75,11.41,PF,broken clouds
270,Sheridan,44.83,-106.92,21.2,85,90,19.46,US,light snow
271,Lavrentiya,65.58,-171.0,11.39,92,100,29.64,RU,overcast clouds
272,Arona,28.1,-16.68,69.01,68,75,5.82,ES,broken clouds
273,Los Llanos De Aridane,28.66,-17.92,66.2,72,20,8.05,ES,few clouds
274,Muzhi,65.37,64.67,14.68,92,26,8.97,RU,scattered clouds
275,Morehead,37.27,-87.18,57.99,41,1,8.05,US,clear sky
276,Sibut,5.72,19.07,78.03,30,15,1.3,CF,few clouds
277,Mangai,-4.05,19.53,66.88,97,95,2.33,CD,overcast clouds
278,Ajdabiya,30.76,20.23,61.72,67,23,9.69,LY,few clouds
279,Hofn,64.25,-15.21,40.75,89,100,24.29,IS,light rain
