City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
1084,Miandrivazo,MG,77.74,overcast clouds,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
1093,Bubaque,GW,81.9,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
1097,Dibulla,CO,84.49,scattered clouds,11.27,-73.31,Hospedaje Dibulla Beach
1100,Gurupi,BR,81.55,moderate rain,-11.73,-49.07,Via Norte Hotel
1102,Orapa,BW,86.56,scattered clouds,-21.28,25.37,
1103,Robertsport,LR,80.76,scattered clouds,6.75,-11.37,Kwepunha Retreat
1109,Tamiahua,MX,77.9,broken clouds,21.27,-97.45,Mission Of The Sun Hotel
1116,Basco,PH,75.63,overcast clouds,20.45,121.97,Nathaniel's Lodge
1118,Nioro,GM,84.16,clear sky,13.35,-15.75,
1120,Cabedelo,BR,84.2,few clouds,-6.98,-34.83,Lua Mansa Pousada
1121,Xai-Xai,MZ,78.15,clear sky,-25.05,33.64,Platinum Hotel
1130,Merauke,ID,76.95,light rain,-8.47,140.33,
1132,Saint-Leu,RE,75.2,broken clouds,-21.15,55.28,La Caz Oceane
1138,Jega,NG,77.02,clear sky,12.22,4.38,ALH. Nasiru Ibrahim
1149,Potam,MX,75.99,clear sky,27.6,-110.38,Ejido La Pimienta
1153,Luanda,AO,77.0,clear sky,-8.84,13.23,EPIC SANA Luanda
1157,Bosobolo,CD,79.45,broken clouds,4.18,19.9,
1158,Nsoko,SZ,82.4,few clouds,-27.03,31.95,KaMsholo Bushveld Safaris
1159,Puerto Rondon,CO,84.96,scattered clouds,6.28,-71.1,HOTEL CAMINO REAL
1160,Kerema,PG,77.5,broken clouds,-7.96,145.78,Frena Lodge
1163,Mazatan,MX,84.09,clear sky,14.87,-92.45,Jose Luis Villalobos De La Cruz
1164,Ponta Grossa,BR,79.57,few clouds,-25.09,-50.16,Hotel Ponta Grossa Plateau
1165,Acarau,BR,82.89,clear sky,-2.89,-40.12,castelo pizzaria
1170,Murray Bridge,AU,78.01,light rain,-35.12,139.27,Balcony On Sixth Lodge
1172,Ouadda,CF,76.59,broken clouds,8.08,22.4,
1175,Navirai,BR,89.28,scattered clouds,-23.07,-54.19,Dubai Hotel - Também sua casa!
1177,Sao Lourenco Do Sul,BR,84.2,clear sky,-31.37,-51.98,Hotel Pousada Verde Água
1183,Umm Lajj,SA,75.9,few clouds,25.02,37.27,Moon light Furnished Units
1185,Pemangkat,ID,75.85,overcast clouds,1.17,108.97,Kost H.Syamsuddin
1191,Novo Aripuana,BR,89.92,overcast clouds,-5.12,-60.38,Hotel Ypê
1192,Sorong,ID,79.39,clear sky,-0.88,131.25,The Waigo Hotel
1195,Koumac,NC,78.46,broken clouds,-20.57,164.28,Le Monitel
1196,Sabang,ID,80.38,overcast clouds,5.89,95.32,Hotel Citra
1197,Dicabisagan,PH,77.13,scattered clouds,17.08,122.42,Nancy Montanes Bernardo
1201,Ipixuna,BR,80.6,light rain,-1.76,-48.8,Casa da Oscarina
1208,Labuhan,ID,77.88,light rain,-6.88,112.21,bador sepret
1210,Salta,AR,86.0,scattered clouds,-24.79,-65.41,Hotel Alejandro I
1222,Canutama,BR,83.89,moderate rain,-6.53,-64.38,Hotel Jhennifer
1223,Caucaia,BR,84.2,clear sky,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
1228,Lagos,NG,82.4,few clouds,6.58,3.75,
1230,Sinnamary,GF,81.86,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
1231,Pinheiro Machado,BR,82.54,broken clouds,-31.58,-53.38,Hotel e Restaurante Quitandinha
1236,Sokolo,ML,78.03,clear sky,14.73,-6.12,
1239,Damaturu,NG,80.06,scattered clouds,11.75,11.96,Zadia hotel
1240,Miramar,US,79.0,overcast clouds,25.99,-80.23,Stadium Hotel
1242,Linhares,BR,79.36,few clouds,-19.39,-40.07,Hotel Conceição
1245,Jilib,SO,75.33,clear sky,0.49,42.79,
1246,Rincon,US,75.2,broken clouds,32.3,-81.24,Bent tree subdivision
1248,Tecoanapa,MX,83.68,clear sky,16.52,-98.75,Hotel Manglares
1254,Vung Tau,VN,78.08,overcast clouds,10.35,107.08,Seaside Resort
1259,Wajir,KE,83.21,clear sky,1.75,40.06,Al- Amin lodge
1263,Reo,BF,80.51,clear sky,12.32,-2.47,Hôtel Deogratias
1264,Gorontalo,ID,75.58,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
1271,Ko Samui,TH,82.27,overcast clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
1273,Ovalle,CL,83.61,clear sky,-30.6,-71.2,Hotel Altos de Tuqui
1277,Porto Novo,BJ,82.4,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
1279,Cotonou,BJ,82.4,few clouds,6.37,2.42,Novotel Cotonou Orisha
1280,Mahibadhoo,MV,82.67,overcast clouds,3.78,72.97,Omadhoo Inn
1283,Jamame,SO,77.36,clear sky,0.07,42.75,
1285,Manadhoo,MV,81.79,broken clouds,5.77,73.38,Vevu Guesthouse
1288,Coari,BR,89.91,broken clouds,-4.08,-63.14,HOTEL ALEX FLAT
1290,Lahaina,US,78.8,scattered clouds,20.88,-156.68,Lahaina Shores Beach Resort
1292,Saint-Pierre,RE,75.2,light rain,-21.34,55.48,Lindsey Hôtel
1296,Saint-Georges,GD,84.2,broken clouds,12.06,-61.75,Siesta Hotel
1304,Sulya,IN,77.0,mist,12.57,75.38,KFDC Guest House - Karnataka Forest Development Corporation Ltd
1305,Correntina,BR,83.55,few clouds,-13.34,-44.64,Hotel Pousada dos Sonhos
1314,Goundam,ML,75.79,clear sky,16.41,-3.67,
1315,Tucurui,BR,82.49,moderate rain,-3.77,-49.67,BBB Rooms Centro Tucurui PA
1318,Kuala Perlis,MY,78.8,few clouds,6.4,100.13,D'View Hotel & Guest Houses
1322,Klang,MY,77.0,few clouds,3.03,101.45,Euro Hotel
1325,Mareeba,AU,77.0,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
1332,Kabo,CF,81.09,broken clouds,7.7,18.63,
1335,Quelimane,MZ,84.2,light rain,-17.88,36.89,Hotel Flamingo
1338,Kande,TG,83.53,clear sky,9.96,1.04,
1343,Porto Belo,BR,80.6,few clouds,-27.16,-48.55,Costa Verde Beach Hotel
1345,Probolinggo,ID,76.24,light rain,-7.75,113.22,OYO 1639 Penginapan Anggrek Syariah 1
1346,Porto Walter,BR,75.69,overcast clouds,-8.27,-72.74,Hotel Silva
1349,Pitimbu,BR,84.2,few clouds,-7.47,-34.81,Reserva do Abiaí
1356,Zimmi,SL,76.06,broken clouds,7.32,-11.31,
1358,Mundo Novo,BR,82.15,clear sky,-11.86,-40.47,Casa Shalon
1361,Angoche,MZ,81.48,light rain,-16.23,39.91,Guest House HESADA
1364,Nueva Armenia,HN,82.4,few clouds,15.8,-86.5,
1365,Inirida,CO,86.18,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
1370,Emilio Carranza,MX,76.95,overcast clouds,19.97,-96.61,casa carranza
1375,Santa Rosa,PH,82.4,scattered clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
1385,Sao Gabriel Da Cachoeira,BR,82.4,shower rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
1390,Doka,SD,77.07,scattered clouds,13.52,35.77,
1392,Sapa,PH,81.18,overcast clouds,5.15,120.32,
1399,Garissa,KE,80.83,scattered clouds,-0.45,39.64,Sharif Plaza Hotel
1413,Guarapari,BR,82.4,clear sky,-20.67,-40.5,Hotel Porto do Sol
1416,Kayes,ML,82.24,clear sky,14.0,-11.0,
1417,Wahiawa,US,80.6,few clouds,21.5,-158.02,Aloha Wahiawa
1419,Arlit,NE,77.61,clear sky,18.74,7.39,Hôtel Telwa Bungalow
1421,Bassila,BJ,85.35,few clouds,9.01,1.67,COMPLEXE MAKOYA ET FILS
1431,Ibipeba,BR,83.39,clear sky,-11.64,-42.01,Quitanda santos
1439,Wad Rawah,SD,76.53,clear sky,15.16,33.14,ود الترابي
1440,Ouesso,CG,76.8,overcast clouds,1.61,16.05,Hôtel ABENI
1444,Tomatlan,MX,86.74,overcast clouds,19.93,-105.25,Norma franco
1445,Wajid,SO,79.12,broken clouds,3.81,43.25,xamdihotelresturant114
1446,Puerto Carreno,CO,89.4,broken clouds,6.19,-67.49,Casa Hotel Victoria
1448,Ilheus,BR,86.0,few clouds,-14.79,-39.05,Pontal Praia Hotel
1468,Aden,YE,77.54,clear sky,12.78,45.04,Sama Emirate Hotel
1475,Daru,PG,77.02,moderate rain,-9.08,143.21,New century hotel
